business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,attributes.ByAppointmentOnly,attributes.BusinessAcceptsCreditCards,attributes.BikeParking,attributes.RestaurantsPriceRange2,attributes.CoatCheck,attributes.RestaurantsTakeOut,attributes.RestaurantsDelivery,attributes.Caters,attributes.WiFi,attributes.BusinessParking,attributes.WheelchairAccessible,attributes.HappyHour,attributes.OutdoorSeating,attributes.HasTV,attributes.RestaurantsReservations,attributes.DogsAllowed,attributes.Alcohol,attributes.GoodForKids,attributes.RestaurantsAttire,attributes.Ambience,attributes.RestaurantsTableService,attributes.RestaurantsGoodForGroups,attributes.DriveThru,attributes.NoiseLevel,attributes.GoodForMeal,attributes.BusinessAcceptsBitcoin,attributes.Smoking,attributes.Music,attributes.GoodForDancing,attributes.AcceptsInsurance,attributes.BestNights,attributes.BYOB,attributes.Corkage,attributes.BYOBCorkage,attributes.HairSpecializesIn,attributes.Open24Hours,attributes.RestaurantsCounterService,attributes.AgesAllowed,attributes.DietaryRestrictions,hours.Monday,hours.Tuesday,hours.Wednesday,hours.Thursday,hours.Friday,hours.Saturday,hours.Sunday
3yk9H9PPUTbPe6sXJqubaA,St. Louis Bread,9920 Kennerly Rd,St. Louis,MO,63128,38.507196,-90.376301,3,26,1,"Sandwiches, Bagels, Salad, Coffee & Tea, Bakeries, Food, Restaurants, Breakfast & Brunch, Soup",,True,True,2,,True,True,True,'free',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,True,True,False,,'none',True,'casual',"{u'divey': None, u'hipster': None, u'casual': True, u'touristy': False, u'trendy': None, u'intimate': False, u'romantic': False, u'classy': None, u'upscale': None}",,True,True,'average',"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': True}",,,,,,,,,,,,,,,6:0-21:0,6:0-21:0,6:0-21:0,6:0-21:0,6:0-21:0,6:0-21:0,7:0-20:0
TwscOFN8YPAJxEe86wkqvg,Wing Runner,4156 Manchester Ave,St. Louis,MO,63110,38.6272305,-90.2522497,4,5,0,"Food, Restaurants, Desserts, Barbeque, Chicken Wings",,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0
jY8pZdhEQATs28mqApl8aw,Hawthorn Suites By Wyndham St. Louis Westport Plaza,1881 Craigshire Rd,St. Louis,MO,63146,38.6921964936,-90.448170211,2,29,1,"Event Planning & Services, Hotels & Travel, Hotels",,True,,2,,,,,'free',,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
HdoL6w96mdqzsW9jd_wcrw,The Lobby Lounge,100 Carondelet Plaza,St. Louis,MO,63105,38.6484218,-90.330869,4.5,14,1,"Nightlife, Sushi Bars, Restaurants, Bars",,True,False,3,,False,True,False,'free',"{'garage': True, 'street': True, 'validated': False, 'lot': True, 'valet': True}",True,False,False,True,True,False,u'full_bar',,,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",True,True,,u'loud',,False,u'no',"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}",,,,,,,,,,,,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0
WUV4xv4xpg_n9OMpT_ICHQ,The Frozen Tiki,5300 Hampton Ave,St. Louis,MO,63109,38.5829508524,-90.2930150546,4.5,7,1,"Food, Shaved Ice, Food Trucks",,True,True,1,,True,False,False,,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,,,,,u'none',,,,,,,,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,,,,,,,,,,,,,,14:0-21:0,14:0-21:0,14:0-21:0,14:0-21:0,14:0-21:0,14:0-21:0,14:0-21:0
ZUzsuIiKrFOfDif-iVeNaw,Half Price Books,630 N Mcknight Rd,St. Louis,MO,63132,38.661822,-90.35634,4,30,1,"Shopping, Newspapers & Magazines, Bookstores, Books, Mags, Music & Video",,True,True,1,,True,False,,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:0-20:0,10:0-17:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,12:0-18:0
NGjOaRdF9nP4PSRPVQ54uQ,3949 Apartments,3949 Lindell Blvd.,St. Louis,MO,63108,38.6393688,-90.2427099,2.5,16,1,"Apartments, Home Services, Real Estate",False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,10:0-17:0,12:0-17:0
aUu13O86gLOPMj5qUXSGWQ,Covington Place,1247 Covington Manor Ln,St. Louis,MO,63125,38.507791,-90.3194456,2.5,30,1,"Real Estate, Apartments, Home Services",False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,10:0-17:0,
C2JtfhOZ3PPzIS9V5arQ2A,Rise Coffee House,4176 Manchester Ave,St. Louis,MO,63110,38.627167,-90.25334,4.5,313,1,"Coffee & Tea, Restaurants, Sandwiches, Breakfast & Brunch, Food, Cafes",False,True,True,2,,True,False,False,u'free',"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",True,False,True,False,False,True,u'full_bar',True,'casual',"{u'divey': False, u'hipster': True, u'casual': True, u'touristy': False, u'trendy': True, u'intimate': False, u'romantic': False, u'classy': True, u'upscale': False}",False,True,,'average',"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}",,,,,,,False,,,,,,,,0:0-0:0,,8:0-16:0,8:0-16:0,8:0-16:0,8:0-16:0,8:0-16:0
CRlvaydYKGayTpkM-FeT3g,Perennial on Lockwood,214 W Lockwood Ave,St. Louis,MO,63119,38.5931036,-90.3614207,4.5,33,1,"Food, Breweries",,,,2,,,,,,"{u'valet': False, u'garage': None, u'street': True, u'lot': False, u'validated': False}",,,,,,False,,True,,,,,,,,,,,,,,,,,,,,,,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0
mX_te6nClY4vk631rYaAiA,Scapegoat,52 Maryland Plz,St. Louis,MO,63108,38.645234,-90.2639618,3.5,17,0,"Nightlife, Restaurants, Bars, Tapas/Small Plates",,True,,2,,True,False,,,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,True,True,True,True,,,False,'dressy',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,True,,,,,,,,,,,,,,,,,,,16:0-0:0,16:0-0:0,16:0-0:0,16:0-1:0,16:0-1:0,10:0-15:0
QwnJdt0I3LryvlfVP5TwGA,Ces & Judy's Catering,10440 German Blvd,St. Louis,MO,63131,38.6434272,-90.4078986,4,14,1,"Venues & Event Spaces, Caterers, Event Planning & Services",,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:0-15:0,10:0-15:0,10:0-15:0,10:0-15:0,10:0-15:0,,
6Gx45ltNNZvjzVBO6ZgVOg,Three Kings Public House,40 Ronnie's Plz,St. Louis,MO,63126,38.5287929163,-90.3633732675,4,160,1,"Pubs, Bars, Restaurants, American (New), Nightlife, Burgers, Gastropubs",,True,False,2,,True,None,True,'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True,True,u'full_bar',True,'casual',"{u'divey': False, u'hipster': None, u'casual': True, u'touristy': False, u'trendy': None, u'intimate': False, u'romantic': False, u'classy': False, u'upscale': False}",True,True,False,u'loud',"{u'breakfast': False, u'brunch': False, u'lunch': True, u'dinner': True, u'latenight': None, u'dessert': None}",False,,,,,,,,,,,,,,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,11:0-21:0
o62Bm9NyZ20u8EHuhRPB4g,Chao Baan,4087 Chouteau Ave,St. Louis,MO,63110,38.6283086342,-90.2496264663,4.5,197,1,"Thai, Restaurants",,True,True,2,,True,True,True,u'free',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,,True,True,True,False,u'full_bar',,,"{'touristy': False, 'hipster': None, 'romantic': None, 'divey': False, 'intimate': None, 'trendy': True, 'upscale': None, 'classy': True, 'casual': True}",True,True,,u'average',"{'dessert': None, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': None}",,,,,,,True,True,,,,,,,16:0-21:0,,16:0-21:0,16:0-21:0,16:0-22:0,16:0-22:0,16:0-21:0
QgVbV1dZG1baYy5WA7-AXQ,Crowne Plaza St. Louis - Downtown,200 N 4th St,St. Louis,MO,63102,38.627027,-90.187379,2,260,0,"Hotels, Venues & Event Spaces, Hotels & Travel, Resorts, Event Planning & Services",,True,,2,,,,,u'free',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
iY-LCg0gysYOPvFRrF9Ybw,Starbucks,10701 Natural Bridge Rd,St. Louis,MO,63145,38.741402,-90.360925,1.5,24,1,"Bakeries, Coffee & Tea, Food",,True,False,2,,True,,False,u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,6:30-14:0,6:30-14:0,6:30-14:0,6:30-14:0,6:30-14:0,6:30-14:0,6:30-14:0
LEWlYohYLQUCBOliKzWAug,ALDI,11185 S Towne Sq,St. Louis,MO,63123,38.5142373835,-90.3396883607,4,9,1,"Meat Shops, Shopping, Specialty Food, Fruits & Veggies, Beer, Wine & Spirits, Organic Stores, Grocery, Food, Discount Store",,True,True,1,,True,True,False,,"{'garage': None, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:0-0:0,8:30-20:0,8:30-20:0,8:30-20:0,8:30-19:0,8:30-20:0,8:30-20:0
ngU4740twiB222g4ti0_eQ,Cocina Latina,508 N Euclid Ave,St. Louis,MO,63108,38.649867,-90.260737,4.5,91,1,"Peruvian, Restaurants",,,,2,,True,True,True,,"{'garage': None, 'street': None, 'validated': None, 'lot': False, 'valet': False}",,,True,True,,,u'full_bar',,,"{u'divey': None, u'hipster': None, u'casual': True, u'touristy': None, u'trendy': True, u'intimate': None, u'romantic': None, u'classy': None, u'upscale': False}",True,,,,"{'dessert': None, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': None}",,,,,,,,,,,,,,,,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0
ygNIyyQcIN-AS8UCW_bCNg,Willow,321 N 10th St,St. Louis,MO,63101,38.6298125,-90.1944526,4,6,1,"Event Planning & Services, Venues & Event Spaces, Party & Event Planning, Wedding Planning",,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0
A7_SGMV6rFhNy82fd2GlBA,Royale Orleans,2801 Telegraph Rd,St. Louis,MO,63125,38.508288,-90.2951294,3,14,1,"Party & Event Planning, Event Planning & Services, Venues & Event Spaces, Arts & Entertainment, Performing Arts",,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,12:0-17:0,
OJsM_V5WZcDGwSnkHSyk8g,Borgmeyer Dental,5914 Leona St,St. Louis,MO,63116,38.5705652,-90.2663139,4.5,10,1,"Oral Surgeons, Health & Medical, Dentists, Cosmetic Dentists, Endodontists, General Dentistry",True,True,,,,,,,u'free',,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,12:0-21:0,8:0-16:0,8:0-18:0,8:0-17:0,8:0-13:0,7:0-12:0,
gUBTkr-9W2tX7WmUwURpgg,Home Decor Outlets - St. Louis,3205 S Kingshighway Blvd,St. Louis,MO,63139,38.6021077467,-90.270141,2.5,6,1,"Home & Garden, Baby Gear & Furniture, Mattresses, Shopping, Home Decor, Furniture Stores, Rugs, Outlet Stores",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:0-20:0,11:0-19:0,11:0-19:0,11:0-19:0,10:0-20:0,10:0-18:0,12:0-18:0
fQ2493mVgIh-cuhoL2FjzQ,Jimmy John's,9347 Gravois Rd,St. Louis,MO,63123,38.5540662,-90.3196831,3,11,1,"Food Delivery Services, Food, Fast Food, Restaurants, Delis, Sandwiches",,True,True,1,,True,True,True,u'no',"{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}",True,False,True,True,False,,'none',False,'casual',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",False,False,True,'average',None,,,,,,,,,,,,,,,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0
vszcGxwJVAK22JvTx4eJAA,Red Dirt Revival,"",St. Louis,MO,63129,38.4530404,-90.3089777,4.5,16,1,"Food, Restaurants, Caterers, Comfort Food, Event Planning & Services, Food Trucks, Southern",,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tIrYpQ8I6gh1FhhqYU-Ttg,Holiday Inn,3400 Rider Trl S,St. Louis,MO,63045,38.7603364922,-90.4591113265,3,32,1,"Hotels & Travel, Hotels, Event Planning & Services, Venues & Event Spaces",,True,,2,,,,,u'free',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
4htaeKBHyUPICUXCMRT6zw,314 Pilates,920 North McKnight Rd,St. Louis,MO,63132,38.6675239,-90.3568275,4,5,1,"Physical Therapy, Active Life, Fitness & Instruction, Pilates, Rehabilitation Center, Cardio Classes, Health & Medical, Weight Loss Centers",True,True,True,,,,,,u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,0:0-0:0,8:0-19:0,8:0-19:0,8:0-19:0,8:0-17:0,8:0-15:0,10:0-15:0
1KSAK11mi_Ij9rlIH_MN6A,Ladue Nail's & Spa - Des Peres,11664 Manchester Rd,St. Louis,MO,63131,38.5992464,-90.4264926,4.5,17,1,"Beauty & Spas, Nail Salons",False,True,True,,,,,,u'free',,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:0-19:30,9:0-19:30,9:0-19:30,9:0-19:30,9:0-19:30,8:30-19:0,10:0-18:0
7ZQYMFjKj7AK1vzCi0BNyg,The Piccadilly at Manhattan,7201 Piccadilly Ave,St. Louis,MO,63143,38.604278,-90.315339,4,259,1,"American (New), American (Traditional), Restaurants",,True,True,2,,True,True,True,'no',"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",True,False,True,True,True,False,u'full_bar',True,u'casual',"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,True,,u'average',"{'dessert': None, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",,,,,,,False,True,,,,,,,0:0-0:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-14:0,11:0-20:0,
6XOTisJ49USEiPk8rSwtNw,Able Rooter,"3407 S Jefferson Ave, Ste 236",St. Louis,MO,63118,38.5930323,-90.225859,5,31,1,"Junk Removal & Hauling, Local Services, Hydro-jetting, Contractors, Plumbing, Home Services",False,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
tS08Eobic3fWPOmuRb9K9Q,River City Fence,2346 N Lindbergh Blvd,St. Louis,MO,63114,38.7040683,-90.4084536,4,22,0,"Home Services, Fences & Gates",True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:0-0:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0
DZ9DabLWMtgt_b_9_nKW5Q,The Quilted Fox,"2055 Craigshire Rd, Ste 205",St. Louis,MO,63146,38.6957624634,-90.4488377,4.5,9,1,"Art Supplies, Appliances & Repair, Arts & Crafts, Local Services, Fabric Stores, Home & Garden, Shopping, Sporting Goods, Appliances",,True,False,,,,,,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,10:0-16:0,10:0-16:0,10:0-16:0,10:0-16:0,10:0-16:0,10:0-16:0,
y3jkyLJgbT4WAGO7ZptBWw,Rottler Pest Solutions,2690 Masterson Ave,St. Louis,MO,63114,38.70404,-90.3427201,4,22,1,"Wildlife Control, Lawn Services, Pest Control, Local Services, Insulation Installation, Home Services, Landscaping",False,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
xbrkhfDCzv9aZedmCHlflA,American School of Real Estate Express LLC,12977 N Forty Dr,St. Louis,MO,63141,38.640036,-90.4790042,4,12,1,"Education, Specialty Schools",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zKeyfDKWCgNbhy7VhrJEmw,Crab’s Landing,701 N Tucker Blvd,St. Louis,MO,63101,38.6324584,-90.1968124,4.5,14,1,"Chicken Wings, Restaurants, Seafood, Cajun/Creole",,True,,,,True,True,,,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-22:30,11:0-22:30,12:0-21:0
YEIxSk__MGZd3RGRKb3umw,The McPherson,4715 McPherson Ave,St. Louis,MO,63108,38.6480989,-90.2594805,4,5,1,"Venues & Event Spaces, Wedding Planning, Wedding Chapels, Event Planning & Services",,True,,,,,,,u'free',,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:30-18:0,,12:30-18:0,12:30-16:0,10:0-16:0,
siN5JEv_AQj037pwcN32pg,Jerk Soul,3108 Cherokee St,St. Louis,MO,63118,38.5943346,-90.2350744,3.5,93,1,"Restaurants, Caribbean, Caterers, Soul Food, Event Planning & Services",,True,True,1,,True,True,,u'paid',"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",False,True,False,True,False,,u'none',,,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",False,,,,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,,,,,,False,False,,,,,,,12:0-19:0,12:0-19:0,12:0-19:0,12:0-19:0,12:0-19:0,,12:0-19:0
D0WJ_kHeMRSzIokta86vjQ,Lulu's Chinese & Dim Sum,9737 Manchester Rd,St. Louis,MO,63119,38.6080600885,-90.3709622473,3,98,1,"Soup, Chinese, Dim Sum, Noodles, Restaurants",,True,True,2,,True,True,True,u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,,False,False,True,False,u'full_bar',True,'casual',"{'touristy': False, 'hipster': None, 'romantic': False, 'divey': None, 'intimate': None, 'trendy': None, 'upscale': False, 'classy': True, 'casual': True}",True,True,,u'quiet',"{'dessert': None, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': None}",,,,,,,,,,,,,,,0:0-0:0,11:0-21:15,11:0-21:15,11:0-21:15,11:0-21:30,11:0-21:30,11:0-21:15
nmLXq1k-Z_9HG2Fsgz9euw,Dierbergs Markets,9901 Manchester Rd,St. Louis,MO,63122,38.6051964,-90.3808638,3.5,18,1,"Flowers & Gifts, Beer, Wine & Spirits, Shopping, Grocery, Food",,True,True,1,,False,True,True,,"{'garage': False, 'street': None, 'validated': False, 'lot': True, 'valet': False}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:0-0:0,6:0-22:0,6:0-23:0,6:0-23:0,6:0-20:0,9:0-22:0,6:0-22:0
uWLFplSCk3lI9rf84ZDwUw,McDonald's,1420 Hampton Ave,St. Louis,MO,63139,38.624459,-90.287467,1,90,1,"Coffee & Tea, Fast Food, Burgers, Food, Restaurants",,True,False,1,,True,True,False,u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,False,True,False,,u'none',True,u'casual',"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",,False,True,u'very_loud',"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': True}",,,,,,,,,,,,,,,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,6:0-3:30,4:0-3:30,4:0-23:0
oPiqiBdRbvaMTzPlYNeZ7Q,Starbucks,827 Washington Ave,St. Louis,MO,63101,38.630579,-90.191795,2.5,41,1,"Coffee & Tea, Food",,True,False,2,,True,,False,'free',"{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0:0-0:0,,6:0-14:0,6:0-14:0,6:0-14:0,6:0-14:0,6:0-14:0
O8xd0PQZfwHIIZhNRmZ_5A,St. Louis Bread,99 Grasso Plz,St. Louis,MO,63123,38.55102,-90.335838,2.5,37,1,"Bagels, Soup, Restaurants, Sandwiches, Food, Salad, Breakfast & Brunch, Coffee & Tea",,True,True,2,,True,True,True,'free',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,True,True,False,,'none',True,'casual',"{'touristy': None, 'hipster': None, 'romantic': None, 'divey': False, 'intimate': None, 'trendy': None, 'upscale': None, 'classy': None, 'casual': None}",,True,True,'average',"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,,,,,,,,,,,,,,6:0-21:0,6:0-21:0,6:0-21:0,6:0-21:0,6:0-21:0,6:0-21:0,6:0-21:0
O6M_pALqB_nf2OrKSpuqzQ,Crepes Etc.,52 Maryland Plz,St. Louis,MO,63108,38.6452343,-90.263962,3.5,229,0,"Beer, Wine & Spirits, Creperies, American (New), French, Restaurants, Food, Sandwiches, Breakfast & Brunch, Seafood",,True,True,2,,True,True,True,u'free',"{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,,True,False,False,,u'full_bar',True,'casual',"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",,True,,u'average',,False,,,,,,,,,,,,,,,,8:0-14:0,8:0-14:0,8:0-14:0,8:0-14:0,8:0-14:0
HmFzVCUOeo2lTJ0-vYtIOg,Forever Flawless,1701 South Lindbergh Blvd,St. Louis,MO,63131,38.630465,-90.407408,2,9,1,"Beauty & Spas, Shopping, Skin Care, Cosmetics & Beauty Supply",False,True,True,3,,,,,,"{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-19:0,12:0-18:0
ijovj3JQ7lN3jSi4c5tzJQ,Fuzzies Pet Grooming,3673 Liermann Ave,St. Louis,MO,63116,38.5845536011,-90.2474871942,5,12,1,"Dog Walkers, Pet Sitting, Pet Groomers, Pet Boarding, Pet Services, Pets",,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:0-0:0,,9:0-19:0,9:0-17:0,9:0-19:0,12:0-17:0,
qGhWH0WVQWwK69UNvFYvDA,The Icon,374 S Grand Blvd,St. Louis,MO,63103,38.632093,-90.2333537,2.5,9,1,"Real Estate, Apartments, Home Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:0-0:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,10:0-17:0,12:0-17:0
I9v-617xe2zTTahd9IobyQ,Seed Sprout Spoon,5700 Leona St,St. Louis,MO,63116,38.5716705189,-90.2655763968,4.5,58,1,"American (New), Bartenders, Restaurants, Vegan, Event Planning & Services, Caterers, Vegetarian, Breakfast & Brunch",True,True,True,2,,False,True,True,u'free',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,False,None,False,False,True,u'full_bar',True,'casual',"{'touristy': False, 'hipster': None, 'romantic': None, 'divey': False, 'intimate': None, 'trendy': True, 'upscale': False, 'classy': None, 'casual': True}",False,False,,u'average',"{'dessert': None, 'latenight': None, 'lunch': None, 'dinner': None, 'brunch': True, 'breakfast': True}",False,,,,,,,,,,,,,,0:0-0:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,,
NNg92k-Zi8IFJY7Zeh2Irg,Supplement Superstore,7437 S Lindbergh Blvd,St. Louis,MO,63125,38.50561,-90.323595,4.5,7,1,"Food, Specialty Food, Health Markets, Vitamins & Supplements, Shopping",,True,,2,,False,True,,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-19:0,9:0-17:0
639_g0sOgRqbrTRql6lcMQ,Animal Clinic South,6008 Telegraph Rd,St. Louis,MO,63129,38.458494,-90.3051406,4.5,13,1,"Veterinarians, Pets, Pet Training, Pet Groomers, Pet Services, Pet Sitting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:0-19:0,8:0-18:0,8:0-19:0,8:0-18:0,8:0-17:0,8:0-13:0,
p1i8V23visvXVioqO74XKg,Beyond Van Gogh,1155 Galleria Pkwy,St. Louis,MO,63117,38.6318912411,-90.3468950362,4.5,15,1,"Art Museums, Museums, Arts & Entertainment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-22:0,10:0-22:0,10:0-21:0
Hc8NS3faFHUnNhYYQt0z7A,ART Bar at Angad Arts Hotel,3550 Samuel Shepard Dr,St. Louis,MO,63103,38.639677586,-90.230807941,4,110,1,"Venues & Event Spaces, Event Planning & Services, Breakfast & Brunch, Hotels, Hotels & Travel, Restaurants",,True,,2,,,,,u'free',,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:0-23:0,16:0-23:0,16:0-0:0,16:0-0:0,
3fzl3od3ah-vJQaH18xRZA,St Louis Appliance Outlet,2253 Administration Dr,St. Louis,MO,63146,38.7020169,-90.4328832,2,45,1,"Appliances, Home & Garden, Wholesalers, Shopping, Discount Store, Wholesale Stores, Professional Services, Outlet Stores",,True,True,2,,,,,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,11:0-16:0
